,Disease_id,Disease,Symptom_1,Symp1_weight,Symptom_2,Symp2_weight,Symptom_3,Symp3_weight,Symptom_4,Symp4_weight,Symptom_5,Symp5_weight,Symptom_6,Symp6_weight,Symptom_7,Symp7_weight,Symptom_8,Symp8_weight,Symptom_9,Symp9_weight,Symptom_10,Symp10_weight,Symptom_11,Symp11_weight,Symptom_12,Symp12_weight,Symptom_13,Symp13_weight,Symptom_14,Symp14_weight,Symptom_15,Symp15_weight,Symptom_16,Symp16_weight,Symptom_17,Symp17_weight,Send_to_Doctor
0,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,D003,AIDS,muscle_wasting,3,patches_in_throat,6,high_fever,7,extra_marital_contacts,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,D0029,Impetigo,high_fever,7,blister,4,red_sore_around_nose,2,yellow_crust_ooze,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,D0017,Gastroenteritis,sunken_eyes,3,dehydration,4,diarrhoea,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,D002,Acne,pus_filled_pimples,2,blackheads,2,scurring,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
46,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
47,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
48,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
49,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
50,D0012,Dengue,chills,3,joint_pain,3,vomiting,5,fatigue,4,high_fever,7,headache,3,nausea,5,loss_of_appetite,4,pain_behind_the_eyes,4,back_pain,3,malaise,6,muscle_pain,2,red_spots_over_body,3,0,0,0,0,0,0,0,0,1
51,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,D0032,Migraine,acidity,3,indigestion,5,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,D0032,Migraine,acidity,3,headache,3,blurred_and_distorted_vision,5,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,D0032,Migraine,acidity,3,indigestion,5,headache,3,excessive_hunger,4,stiff_neck,4,depression,3,irritability,2,visual_disturbances,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
